condition,sigma0_um,sigma0_samples,sigma0_pixels,cycle,time_s,corr,fidelity,phaseCoherence,sigma_um,sigmaLocal_um,fwhm_um,width_ratio,fwhm_ratio,drift_um,driftLocal_um,logEnergy,peak_rel,leakage,gain_last,corr_vs_half
B_4f,16,0.5039370078740157,0.25196850393700787,0,0,1,1,1,16.367652027205384,16.367652027195643,50.66566961098195,1,1,0,0.8005652052187684,0,1,4.007905118896815e-14,1,1
B_4f,16,0.5039370078740157,0.25196850393700787,1,2.6692703106587904e-9,0.9963335588842404,0.9883558768929622,0.9993836447314731,26.885729191206753,17.573962940476164,50.66566961098195,1.6426136837781506,1,0.31749293339308304,0.4539141119957796,-0.481624565460977,0.8842494922509148,0.0027769913765706145,0.6177789537885524,0.9963335588842404
B_4f,16,0.5039370078740157,0.25196850393700787,2,5.338540621317581e-9,0.9954289230223434,0.9858792158875078,0.9991840359707859,25.97529418278589,17.77110151074834,50.66566961098195,1.5869896390521516,1,0.3620897277269204,0.4239806506916727,-0.9501164859009856,0.8702714919558541,0.0031557796793268977,0.625945532508423,0.9999480802596352
B_4f,16,0.5039370078740157,0.25196850393700787,3,8.007810931976371e-9,0.9949161583597461,0.9842802756026116,0.9989713199611633,25.439845532232088,17.889459572469644,50.66566961098195,1.5542758051031031,1,0.3352200817194642,0.41461216886975544,-1.417504597887485,0.8629294166327178,0.003314640944947267,0.6266368379428433,0.9999855927407696
B_4f,16,0.5039370078740157,0.25196850393700787,4,1.0677081242635162e-8,0.9945449016900556,0.9828825278304683,0.998728196970073,25.16723041026114,17.982948579776576,50.66566961098195,1.5376200794365371,1,0.3016417004767797,0.41112090592860034,-1.8844523265189466,0.8576845172298537,0.0034375033036558866,0.6269128591490382,0.9999929761996189
B_4f,16,0.5039370078740157,0.25196850393700787,6,1.6015621863952742e-8,0.9939699906274974,0.9801310338655793,0.9981408183228114,25.13322626816965,18.14350216692469,50.66566961098195,1.5355425583580726,1,0.26611964165425606,0.4063861356914915,-2.8176767953367223,0.8494174618289713,0.0036688239590582095,0.627174934604744,0.999984230526647
B_4f,16,0.5039370078740157,0.25196850393700787,7,1.868489217461153e-8,0.9937232888776658,0.9786974642458948,0.9977989661040331,25.245568124461002,18.218810806114856,50.66566961098195,1.542406209668879,1,0.2637555804872331,0.40353067625830735,-3.2840918020801957,0.8457735777367587,0.003777983980847277,0.627246918323385,0.9999972123744946
B_4f,16,0.5039370078740157,0.25196850393700787,10,2.6692703106587904e-8,0.9930551499825473,0.9739968560754345,0.9966044402136254,25.7287976503263,18.44437563413268,50.66566961098195,1.5719296578129438,1,0.28977084889703425,0.3931401221308944,-4.682915294783661,0.8355965808406505,0.004064340459229432,0.6273679371051127,0.9999799439301118
B_4f,16,0.5039370078740157,0.25196850393700787,13,3.4700514038564277e-8,0.9924294660210311,0.9685627235830097,0.9951936581946126,26.200167659702696,18.684329999696505,50.66566961098195,1.600728535537917,1,0.3328849832432689,0.3820991846160719,-6.0813874103638605,0.8257698385013738,0.004284089511304767,0.6274246927716924,0.9999823375107859
B_4f,16,0.5039370078740157,0.25196850393700787,18,4.804686559185823e-8,0.9913575202766645,0.9576288637835825,0.9924636489445297,26.812500461005783,19.139798313736698,50.66566961098195,1.6381396926351783,1,0.40072019736403147,0.36577497249414515,-8.411805289256304,0.8088919238857584,0.004537949094005178,0.627470181132595,0.9999477440315763
B_4f,16,0.5039370078740157,0.25196850393700787,24,6.406248745581097e-8,0.9898555351429161,0.9412043250051692,0.9887145091723091,27.41216281962281,19.794648178400813,50.66566961098195,1.6747767348706988,1,0.4589685305594103,0.35094651164656593,-11.207995798286241,0.7865908170149348,0.004749862691456608,0.6274973808111419,0.9999027295630679
B_4f,16,0.5039370078740157,0.25196850393700787,32,8.541664994108129e-8,0.987170297571331,0.9137248205226243,0.9831645146984096,28.277396500703954,20.85296248298142,62.052519011670825,1.7276391539667917,1.224744871391589,0.4995611131439324,0.3382945701875722,-14.935962820861452,0.7523516330807358,0.0050029256491203045,0.6275179513790318,0.9997434109245734
B_4f,16,0.5039370078740157,0.25196850393700787,42,1.121093530476692e-7,0.9820522846917772,0.8711325959070888,0.975713017255165,29.636621212560826,22.440814646297692,62.052519011670825,1.8106825073810533,1.224744871391589,0.5089475309205592,0.33257185269122863,-19.59565083355372,0.7022657080838509,0.0053730341966361506,0.6275329387645647,0.9993522313416511
