operator,encoding,ber_max,pitch_um,pitch_px,sigma_um,bits_per_mm2,lifetime_trips,lifetime_s,bits_in_fov,fov_mm2,censored
A_img,presence_phase0,0.0,40.0,2.0,10.0,625.0,0,0.0,400,0.6400000000000001,False
A_img,presence_phase0,0.0,60.00000000000001,3.0,15.000000000000002,277.77777777777766,0,0.0,177,0.6400000000000001,False
A_img,presence_phase0,0.0,80.0,4.0,20.0,156.25,0,0.0,100,0.6400000000000001,False
A_img,presence_phase0,0.0,100.0,5.0,25.0,99.99999999999999,0,0.0,64,0.6400000000000001,False
A_img,presence_phase0,0.0,120.00000000000001,6.0,30.000000000000004,69.44444444444441,0,0.0,44,0.6400000000000001,False
A_img,presence_phase0,0.0,160.0,8.0,40.0,39.0625,0,0.0,25,0.6400000000000001,False
A_img,presence_phase0,0.0,200.0,10.0,50.0,24.999999999999996,0,0.0,16,0.6400000000000001,False
A_img,presence_phase0,0.0,240.00000000000003,12.0,60.00000000000001,17.361111111111104,0,0.0,11,0.6400000000000001,False
A_img,presence_phase0,0.0,320.0,16.0,80.0,9.765625,32,2.135416248527032e-08,6,0.6400000000000001,False
A_img,presence_phase0_sq,0.0,40.0,2.0,10.0,625.0,0,0.0,400,0.6400000000000001,False
A_img,presence_phase0_sq,0.0,60.00000000000001,3.0,15.000000000000002,277.77777777777766,0,0.0,177,0.6400000000000001,False
A_img,presence_phase0_sq,0.0,80.0,4.0,20.0,156.25,0,0.0,100,0.6400000000000001,False
A_img,presence_phase0_sq,0.0,100.0,5.0,25.0,99.99999999999999,0,0.0,64,0.6400000000000001,False
A_img,presence_phase0_sq,0.0,120.00000000000001,6.0,30.000000000000004,69.44444444444441,0,0.0,44,0.6400000000000001,False
A_img,presence_phase0_sq,0.0,160.0,8.0,40.0,39.0625,0,0.0,25,0.6400000000000001,False
A_img,presence_phase0_sq,0.0,200.0,10.0,50.0,24.999999999999996,0,0.0,16,0.6400000000000001,False
A_img,presence_phase0_sq,0.0,240.00000000000003,12.0,60.00000000000001,17.361111111111104,2,1.334635155329395e-09,11,0.6400000000000001,False
A_img,presence_phase0_sq,0.0,320.0,16.0,80.0,9.765625,1024,6.833331995286502e-07,6,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.0,40.0,2.0,10.0,625.0,0,0.0,400,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.0,60.00000000000001,3.0,15.000000000000002,277.77777777777766,0,0.0,177,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.0,80.0,4.0,20.0,156.25,0,0.0,100,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.0,100.0,5.0,25.0,99.99999999999999,0,0.0,64,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.0,120.00000000000001,6.0,30.000000000000004,69.44444444444441,8,5.33854062131758e-09,44,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.0,160.0,8.0,40.0,39.0625,2,1.334635155329395e-09,25,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.0,200.0,10.0,50.0,24.999999999999996,8,5.33854062131758e-09,16,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.0,240.00000000000003,12.0,60.00000000000001,17.361111111111104,1024,6.833331995286502e-07,11,0.6400000000000001,False
A_img,presence_phase0_sqcal,0.0,320.0,16.0,80.0,9.765625,1024,6.833331995286502e-07,6,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.0,40.0,2.0,10.0,625.0,0,0.0,400,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.0,60.00000000000001,3.0,15.000000000000002,277.77777777777766,0,0.0,177,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.0,80.0,4.0,20.0,156.25,0,0.0,100,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.0,100.0,5.0,25.0,99.99999999999999,0,0.0,64,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.0,120.00000000000001,6.0,30.000000000000004,69.44444444444441,8,5.33854062131758e-09,44,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.0,160.0,8.0,40.0,39.0625,1,6.673175776646975e-10,25,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.0,200.0,10.0,50.0,24.999999999999996,4,2.66927031065879e-09,16,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.0,240.00000000000003,12.0,60.00000000000001,17.361111111111104,512,3.416665997643251e-07,11,0.6400000000000001,False
A_img,presence_randphase_sqcal,0.0,320.0,16.0,80.0,9.765625,1024,6.833331995286502e-07,6,0.6400000000000001,False
A_img,phase_0pi,0.0,40.0,2.0,10.0,625.0,0,0.0,400,0.6400000000000001,False
A_img,phase_0pi,0.0,60.00000000000001,3.0,15.000000000000002,277.77777777777766,0,0.0,177,0.6400000000000001,False
A_img,phase_0pi,0.0,80.0,4.0,20.0,156.25,0,0.0,100,0.6400000000000001,False
A_img,phase_0pi,0.0,100.0,5.0,25.0,99.99999999999999,0,0.0,64,0.6400000000000001,False
A_img,phase_0pi,0.0,120.00000000000001,6.0,30.000000000000004,69.44444444444441,8,5.33854062131758e-09,44,0.6400000000000001,False
A_img,phase_0pi,0.0,160.0,8.0,40.0,39.0625,2,1.334635155329395e-09,25,0.6400000000000001,False
