cellPx,gapPx,pitch_um,cells,states_per_mm2,G0,s,Ia,dark,seed,t,ber,on_min,on_mean,off_max,false_activation,energy,lyapunov_at_end,fixed_point_residual
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,1,1,0,1.7292888507516626,1.8703061056719739,0.009465750879264247,0,165.30452945997905,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,1,3,0,1.6565417419897246,1.9763914556669708,0.025415099662804325,0,170.86750272116166,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,1,10,0.125,1.6266971558917889,2.2041727823365966,0.4889923062616416,0.2857142857142857,198.13109137945412,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,1,30,0.375,1.5950963494812092,2.4512625695624655,3.003292650921132,0.8571428571428571,339.52482909001645,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,1,100,0.4375,1.8435256359839896,2.6337017566390384,3.1976262245085425,1,392.37627999682553,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,1,300,0.4375,1.9469138291317707,2.6730534475732255,3.2428918494561696,1,396.36748069570353,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,1,1000,0.4375,1.9483401620747252,2.673329762754484,3.2432584912474365,1,396.38915052474124,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,1,3000,0.4375,1.9483401885236473,2.6733297689246376,3.2432584892996803,1,396.38915052927194,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,2,1,0,1.7002704800196924,1.8595252698974722,0.00685682841522465,0,146.98096281612837,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,2,3,0,1.6155361969591246,1.9569703627636368,0.015596431062106576,0,150.8436057641727,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,2,10,0.0625,1.5423316860393381,2.1781224497284204,0.25014709245675737,0.125,172.61160278589176,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,2,30,0.4375,1.3962108466145535,2.422916468868696,2.9517320631347754,0.875,337.31784632045833,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,2,100,0.5,1.810632661268509,2.6159854835738217,3.1803886059102546,1,391.0766797666055,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,2,300,0.5,1.9465877854002303,2.6652102239117994,3.2427238520419244,1,396.36166285299026,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,2,1000,0.5,1.9483401595017018,2.6655767224718185,3.243258492411159,1,396.3891505234406,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,2,3000,0.5,1.9483401885236487,2.6655767259233394,3.2432584892996865,1,396.3891505292719,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,3,1,0,1.7213884711453626,1.9019263898957548,0.009509930005988064,0,185.393568764218,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,3,3,0,1.6494698822971192,2.0568526868885373,0.02883888124433704,0,195.70534556322016,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,3,10,0.1875,1.5962017036755975,2.3686555331408217,0.7790076408124712,0.5,236.8369270995074,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,3,30,0.375,1.6010308574668715,2.6328955590215815,3.0222371842873437,1,352.67076797177407,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,3,100,0.375,1.8562886186195275,2.7865837645437823,3.214038178922531,1,393.7757422649161,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,3,300,0.375,1.9471310130844723,2.8088619803271677,3.2430674331428158,1,396.3736801243194,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,3,1000,0.375,1.9483401669755247,2.80902403058868,3.2432584903046546,1,396.3891505261511,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.6,0.05,0,3,3000,0.375,1.9483401885236493,2.809024033403276,3.2432584892996776,1,396.38915052927183,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,1,1,0,1.6292159851422376,1.7620726596053764,0.00891797378857106,0,155.738459596007,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,1,3,0,1.3934972678399342,1.6839183871684242,0.014953090043228586,0,145.39555659138716,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,1,10,0,1.0905413865060545,1.6146437347350353,0.022050469383140574,0,138.90663211346381,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,1,30,0,0.9777153818704755,1.6420811027569373,0.029441072759440037,0,140.63528410417194,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,1,100,0.0625,1.1556286538001224,1.7968304240846307,1.9411798406839194,0.14285714285714285,170.35313456906917,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,1,300,0.125,1.2472752659590076,1.9217595183804832,2.4361481529968025,0.2857142857142857,202.9621023993261,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,1,1000,0.125,1.2523667169471517,1.9228380233839155,2.438001838746211,0.2857142857142857,203.051592264451,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,1,3000,0.125,1.2523673795089918,1.9228380813780477,2.4380020325582423,0.2857142857142857,203.0515969204331,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,2,1,0,1.6018768893984825,1.7519157040630011,0.006460028037887217,0,138.47526630819746,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,2,3,0,1.3542808532090356,1.666023908843743,0.009477623031170286,0,128.17356677907915,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,2,10,0,1.0090050212205743,1.5906169155980603,0.013573675586997637,0,121.7377286914642,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,2,30,0,0.784745115626068,1.5778722978827373,0.014926832134822052,0,120.19960588643931,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,2,100,0,0.661893191682807,1.6085694520136125,0.01478204420610637,0,122.17685892709625,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,2,300,0,0.7312506900018378,1.638968239113249,0.022922255458606728,0,124.52745969620383,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,2,1000,0.125,1.0021667856496428,1.8559027629374902,2.446699536103307,0.25,184.0022264997808,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,2,3000,0.125,1.0020042678588006,1.8559037458366807,2.4467016548433644,0.25,184.00272910836676,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,3,1,0,1.6217727955688583,1.7918630977324324,0.008959596296827441,0,174.66495874413442,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,3,3,0,1.3867420190474755,1.756996975779181,0.016042956240905158,0,166.96345239910303,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,3,10,0,1.0661653861250884,1.7615713140022387,0.0340639579740601,0,166.89995573635073,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,3,30,0,0.9139941440746537,1.8140364079966402,0.13000492859871865,0,171.94881872759913,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,3,100,0.0625,1.1714495740443316,2.004982628243428,2.5689924841722274,0.16666666666666666,211.06252471547003,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,3,300,0.0625,1.296742504704303,2.04463569040241,2.614209116667027,0.16666666666666666,215.01471337159825,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,3,1000,0.0625,1.298357833992133,2.045300288292958,2.6145177908095802,0.16666666666666666,215.07215660499912,NaN,NaN
3,2,100,16,99.99999999999999,3,-0.8,0.2,0,3,3000,0.0625,1.2983574438116217,2.045300346847192,2.6145176188956074,0.16666666666666666,215.07215967425591,NaN,NaN
3,2,100,16,99.99999999999999,4,-0.6,0.05,0,1,1,0,2.119187559953119,2.2919996452423783,0.01159997157226387,0,202.57535476691646,NaN,NaN
3,2,100,16,99.99999999999999,4,-0.6,0.05,0,1,3,0,2.5941109776781457,3.0516672508627014,0.045214510188135285,0,264.0745394184962,NaN,NaN
3,2,100,16,99.99999999999999,4,-0.6,0.05,0,1,10,0.3125,3.1779249155221603,4.1372370597385855,2.279197648339956,0.7142857142857143,415.53192613950483,NaN,NaN
3,2,100,16,99.99999999999999,4,-0.6,0.05,0,1,30,0.4375,3.17170740202394,4.527812369991178,5.466461025574682,1,682.1320288493747,NaN,NaN
3,2,100,16,99.99999999999999,4,-0.6,0.05,0,1,100,0.4375,3.54657049876698,4.792746431959719,5.689746997213515,1,714.9859498639626,NaN,NaN
3,2,100,16,99.99999999999999,4,-0.6,0.05,0,1,300,0.4375,3.712891322321953,4.856441912135558,5.756849507417202,1,721.182614694683,NaN,NaN
3,2,100,16,99.99999999999999,4,-0.6,0.05,0,1,1000,0.4375,3.7153553111499957,4.856884729060523,5.757469848808277,1,721.2164864224762,NaN,NaN
3,2,100,16,99.99999999999999,4,-0.6,0.05,0,1,3000,0.4375,3.715355377596972,4.8568847463992055,5.757469844826225,1,721.2164864326666,NaN,NaN
3,2,100,16,99.99999999999999,4,-0.6,0.05,0,2,1,0,2.0836264850993897,2.2787880796619437,0.008402821467310716,0,180.1204164442984,NaN,NaN
