cellPx,gapPx,pitch_um,cells,states_per_mm2,G0,s,Ia,dark,seed,t,ber,on_min,on_mean,off_max,false_activation,energy,lyapunov_at_end,fixed_point_residual
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,1,1,0,2.26860376213399,2.3187082968966517,0.005526409747095348,0,68.68377840531679,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,1,3,0,2.961983104817705,3.085663744831147,0.023410778256396914,0,89.78229875402455,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,1,10,0.2222222222222222,3.914296519729077,4.1257137644490856,0.40172150962853725,0.3333333333333333,126.45108407041711,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,1,30,0.6666666666666666,4.0433636116674805,4.249823455849953,4.765511893594309,1,318.3224850046484,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,1,100,0.6666666666666666,4.096933827571629,4.314429186972288,4.760519541459719,1,364.70269769551106,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,1,300,0.6666666666666666,4.142545486915567,4.363772366321278,4.849231985769643,1,369.25460181702687,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,1,1000,0.6666666666666666,4.15681639840961,4.353076732393901,4.862192663672167,1,370.3675685934469,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,1,3000,0.6666666666666666,4.15739297271803,4.352214453565904,4.8622072762025494,1,370.4042318640507,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,2,1,0,2.2366116288546016,2.2960644021294407,0.003611362417137859,0,91.06118618560997,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,2,3,0,2.897324337131767,3.0338892653758984,0.014183689489461538,0,117.73112264505491,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,2,10,0,3.7719139046197148,4.010264945925674,0.13721752807626272,0,158.75993759139223,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,2,30,0.5555555555555556,3.9574380836841985,4.159173824837149,4.899610063335342,1,364.02290769610755,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,2,100,0.5555555555555556,3.97138726308747,4.178933549479452,4.907095793767658,1,368.5892571424906,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,2,300,0.5555555555555556,3.9970534566143345,4.213937360240305,4.874568473473551,1,369.911191190261,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,2,1000,0.5555555555555556,4.009870507275061,4.229597134410341,4.862453944364198,1,370.3968523325747,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,2,3000,0.5555555555555556,4.010099323736796,4.229862227802584,4.862207259870797,1,370.4042354928446,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,3,1,0,2.2570755497600143,2.3300233249784648,0.004541638803267615,0,160.7830375754208,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,3,3,0,2.922231174795995,3.100308853979114,0.014627698695395965,0,209.51181000704668,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,3,10,0.1111111111111111,3.7914017459432054,4.086004498616429,0.646077343666781,0.5,281.70002333995797,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,3,30,0.2222222222222222,3.940146879713475,4.203848678472896,4.886920497907785,1,366.04626726722773,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,3,100,0.2222222222222222,3.964301811852676,4.228473930375696,4.894747570513175,1,368.15511499802557,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,3,300,0.2222222222222222,3.9957972927876,4.265436726827626,4.872159498540445,1,369.7968078695387,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,3,1000,0.2222222222222222,4.009797243824019,4.281948901405667,4.862413844023725,1,370.392989495949,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.6,0.05,0.001,3,3000,0.2222222222222222,4.010099311494459,4.28229887475825,4.862207262226284,1,370.4042349819697,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,1,1,0,2.1474867593531823,2.1949162958735453,0.005231363870914098,0,65.01686507344063,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,1,3,0,2.643793091006924,2.7580663512546995,0.013088153891134695,0,80.03686639430111,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,1,10,0,3.422100396221322,3.6156526866781764,0.02156702346733091,0,104.74776302697947,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,1,30,0,3.55071990550162,3.7546562406070936,0.031608308177441105,0,108.8972789165388,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,1,100,0.1111111111111111,3.586391694805489,3.7453289268345658,4.144877895418321,0.16666666666666666,148.37423685894237,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,1,300,0.3333333333333333,3.6417012265275384,3.804139299943239,4.222543513000124,0.5,225.2248830593638,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,1,1000,0.3333333333333333,3.6395676214269406,3.814721107848399,4.1946878116378175,0.5,224.9021681342205,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,1,3000,0.3333333333333333,3.6351466024087973,3.8143116819567795,4.189225547353573,0.5,224.7084383243193,NaN,NaN
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,2,1,0,2.117202633157287,2.1734813211968604,0.003418557750576093,0,86.19958006269164,-0.0005179071464847455,1.9999995845853595
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,2,3,0,2.5824021329745217,2.710757674066195,0.008301459798200654,0,105.03246063863331,-0.0005179071464847455,1.9999995845853595
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,2,10,0,3.2985150458472776,3.5199104587537313,0.011687342393602158,0,136.02560511081197,-0.0005179071464847455,1.9999995845853595
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,2,30,0,3.4107695551931925,3.646847821383026,0.0127174030349817,0,140.90553175490916,-0.0005179071464847455,1.9999995845853595
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,2,100,0,3.422352959174442,3.6585953073621624,0.013100208838819004,0,141.24630610951283,-0.0005179071464847455,1.9999995845853595
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,2,300,0,3.4339258826889356,3.6694228784532514,0.013588705018063729,0,141.49767866108576,-0.0005179071464847455,1.9999995845853595
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,2,1000,0,3.4351593621133687,3.669805992414652,0.013921261791406677,0,141.4422129626942,-0.0005179071464847455,1.9999995845853595
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,2,3000,0,3.434728563793234,3.669742358785873,0.013983193451639746,0,141.44001750666195,-0.0005179071464847455,1.9999995845853595
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,3,1,0,2.1365740191711606,2.2056272333201736,0.004299168219049156,0,152.1990971208706,-0.0008307776107037858,1.9999998736682896
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,3,3,0,2.610718472876305,2.7774753645762904,0.008265578265056438,0,187.55756172574962,-0.0008307776107037858,1.9999998736682896
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,3,10,0,3.3420744686817407,3.6286280268727786,0.011003939504461498,0,244.41131815408428,-0.0008307776107037858,1.9999998736682896
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,3,30,0,3.461591572066518,3.762491211147349,0.012469371628006938,0,253.32304827980707,-0.0008307776107037858,1.9999998736682896
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,3,100,0,3.489968348608377,3.7820255582147158,0.011871702758747861,0,254.25726290037392,-0.0008307776107037858,1.9999998736682896
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,3,300,0,3.5200921367065297,3.806222201794184,0.01392854688189293,0,255.3085404390524,-0.0008307776107037858,1.9999998736682896
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,3,1000,0,3.5237109698674973,3.8094319710579176,0.016974559022966452,0,255.3530195472056,-0.0008307776107037858,1.9999998736682896
3,3,120,9,69.44444444444444,4,-0.8,0.2,0.001,3,3000,0,3.5237039391497387,3.809426229955277,0.01703276755915001,0,255.35148177543812,-0.0008307776107037858,1.9999998736682896
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,1,1,0,2.685992367904602,2.745315375393281,0.006543185130156248,0,81.32054952690139,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,1,3,0,4.09340637635297,4.254573806506008,0.03776890596438701,0,123.97916539625136,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,1,10,0.3333333333333333,5.811334788685922,6.107405367676918,1.7894653247898153,0.5,211.2184810328221,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,1,30,0.6666666666666666,5.9631862378632485,6.207164890185662,6.886844155825611,1,527.8814235793237,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,1,100,0.6666666666666666,6.020078673741683,6.298379559092603,6.869411577096099,1,533.5363938458001,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,1,300,0.6666666666666666,6.078782946082611,6.3771681430342975,6.996597598763994,1,539.7406346122258,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,1,1000,0.6666666666666666,6.0860911805414215,6.354847203428682,7.050218760009418,1,541.5813723966636,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,1,3000,0.6666666666666666,6.086865387827472,6.351908603987918,7.050772325304844,1,541.6661573798119,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,2,1,0,2.6481141684341982,2.7185053482128847,0.004275798203316591,0,107.81506016582311,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,2,3,0,4.009124189038045,4.186848366106565,0.022396715965880856,0,162.62637625583787,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,2,10,0.4444444444444444,5.625618850101682,5.952354645529311,1.4738164369538003,0.8,266.6722799234184,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,2,30,0.5555555555555556,5.822621783062424,6.0819209918239325,7.1071791934669335,1,537.1317657174302,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,2,100,0.5555555555555556,5.841277949026926,6.113695198881924,7.095064484521976,1,539.0761902054473,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,2,300,0.5555555555555556,5.871416437933781,6.163595818337668,7.063914169126685,1,540.9557386470686,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,2,1000,0.5555555555555556,5.886091137280989,6.185147851567714,7.051133704660198,1,541.6653089429777,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,2,3000,0.5555555555555556,5.88616118962659,6.185294941472088,7.0507726545602685,1,541.6661896107125,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,3,1,0,2.67234313970137,2.7587121966353436,0.0053772313027821515,0,190.36467232597084,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,3,3,0,4.039589367253165,4.270797214879817,0.0237151057470591,0,288.78107958187,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,3,10,0.2222222222222222,5.608228673231858,6.001817987282195,3.1997873191140336,1,438.3595908950719,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,3,30,0.2222222222222222,5.7922506518479855,6.147716425254798,7.075233393794326,1,536.0669434311795,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,3,100,0.2222222222222222,5.825779125859827,6.182029941930559,7.084793462184301,1,538.2654736209696,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,3,300,0.2222222222222222,5.867616674053211,6.233546373535313,7.061095769903207,1,540.718371084258,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,3,1000,0.2222222222222222,5.885894994753523,6.256348562364224,7.050982528415726,1,541.6536592969711,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.6,0.05,0.001,3,3000,0.2222222222222222,5.8861611102874845,6.256700312600596,7.0507726091710605,1,541.6661851633378,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,1,1,0,2.5508866367991736,2.6072256900540656,0.006214062150757194,0,77.23011634882872,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,1,3,0,3.7555190276350836,3.905875488370325,0.02065841387998997,0,113.44626478077302,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,1,10,0,5.327476612276884,5.598864981624044,0.0945815179043826,0,163.34965030229225,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,1,30,0.3333333333333333,5.504376430980827,5.795229811442495,6.406208247654513,0.5,310.43563995099595,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,1,100,0.6666666666666666,5.591173421667637,5.802599407702885,6.78241367498212,1,501.21658936623516,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,1,300,0.6666666666666666,5.665690038630476,5.887948059202123,6.677066097496081,1,504.6708799330379,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,1,1000,0.6666666666666666,5.698856654293009,5.95215388931038,6.632523905312905,1,507.2714745295479,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,1,3000,0.6666666666666666,5.700617951511611,5.956973253168293,6.633746505371036,1,507.4519504578702,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,2,1,0,2.5149137152042975,2.5817642103849883,0.004060725052245438,0,102.3919499954681,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,2,3,0,3.6755532963466004,3.843576885462958,0.012720016649462172,0,149.02658371522628,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,2,10,0,5.1501562167985195,5.455786936889739,0.029673104183333583,0,211.19409223605865,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,2,30,0.3333333333333333,5.3378947882618615,5.665586743766639,3.3369226477510825,0.6,262.8124939510352,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,2,100,0.5555555555555556,5.419590128064491,5.717206559257142,6.728342132666455,1,503.02065900562866,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,2,300,0.5555555555555556,5.474228678916877,5.769325612011155,6.65705691262611,1,506.2214762186257,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,2,1000,0.5555555555555556,5.504719724606029,5.794836100999273,6.634064203862748,1,507.43010544709836,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,2,3000,0.5555555555555556,5.505434118074102,5.7952930353745025,6.63374663006749,1,507.45197853887015,NaN,NaN
