noise,cellPx,gapPx,pitch_um,cells,states_per_mm2,G0,s,Ia,dark,seed,t,ber,on_min,on_mean,off_max,false_activation,energy,lyapunov_at_end,fixed_point_residual
0,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,1,0,1.7440813514657034,1.782601249105837,0.004248652118693779,0,52.80344635955015,-0.0028634613489745032,1.9999982374450507
0,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,3,0,1.616530881784493,1.6961053272822653,0.0073308695684127095,0,49.16309593688958,-0.0028634613489745032,1.9999982374450507
0,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,10,0,1.4956644084214457,1.6201422969449846,0.005961844760132984,0,46.83649809956944,-0.0028634613489745032,1.9999982374450507
0,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,30,0,1.451783814617237,1.5919811700174147,0.0056856681197750055,0,46.00968423415472,-0.0028634613489745032,1.9999982374450507
0,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,100,0,1.460670303781085,1.5955868570191256,0.005589118313017295,0,46.08442711874937,-0.0028634613489745032,1.9999982374450507
0,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,300,0,1.4815901272732845,1.6058488514507936,0.005914524233370936,0,46.30937479597163,-0.0028634613489745032,1.9999982374450507
0,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,1000,0,1.4851259831330637,1.6082329059870333,0.006211278168726907,0,46.324066999028176,-0.0028634613489745032,1.9999982374450507
0,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,3000,0,1.4830388209265573,1.6066638108669598,0.006145489440359218,0,46.276426803376125,-0.0028634613489745032,1.9999982374450507
0,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,10000,0,1.4830310257192825,1.606657700361277,0.006145378655546664,0,46.276233214719504,-0.0028634613489745032,1.9999982374450507
0,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,30000,0,1.4830310257185078,1.6066577003606668,0.006145378655537885,0,46.27623321470001,-0.0028634613489745032,1.9999982374450507
0,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,1,100000,0,1.4830310257185078,1.6066577003606672,0.006145378655537889,0,46.27623321470001,-0.0028634613489745032,1.9999982374450507
