noise,cellPx,gapPx,pitch_um,cells,states_per_mm2,G0,s,Ia,dark,seed,t,ber,on_min,on_mean,off_max,false_activation,energy,lyapunov_at_end,fixed_point_residual
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,1,1,0,1.4213620475160844,1.4527543449762221,0.0034624949515887826,0,43.03286344438142,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,1,3,0,0.9147992337851988,0.9668464149338168,0.003893848291137059,0,28.00437611095136,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,1,10,0.2222222222222222,0.17359612235975114,0.22840785692870477,0.0008050461107369938,0,6.599629209679195,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,1,30,0.3333333333333333,5.7862577805601e-12,5.912716294839023e-11,8.134024805082978e-13,0,1.7181290638536753e-9,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,1,100,0.3333333333333333,1.685683182331633e-52,2.841393855249195e-51,3.2765389583192146e-52,0,8.938430033765065e-50,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,1,300,0.3333333333333333,8.686171987254284e-167,4.143563760009614e-166,5.1688830255727554e-166,0,2.3340986613694628e-164,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,1,1000,0.3333333333333333,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,1,3000,0.3333333333333333,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,2,1,0,1.4013178225961611,1.4385671285185597,0.0022626487556898175,0,57.05311619701785,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,2,3,0,0.8863494177918525,0.9452677954921853,0.0026109230124270466,0,36.56438480479877,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,2,10,0.3333333333333333,0.14452553927275505,0.20498459869219438,0.00048055975476644127,0,7.905081965463545,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,2,30,0.4444444444444444,2.8383884879245172e-12,4.691844343878566e-11,7.018608615985763e-13,0,1.8092713775972066e-9,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,2,100,0.4444444444444444,1.218472850844191e-52,2.252016382259567e-51,2.9740797764988207e-52,0,9.340050700587524e-50,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,2,300,0.4444444444444444,4.533085092568974e-167,3.175840961079472e-166,4.3078725719914987e-166,0,2.2494277206619757e-164,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,2,1000,0.4444444444444444,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,2,3000,0.4444444444444444,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,3,1,0,1.414139206834263,1.4598436180130172,0.002845500451087443,0,100.73636979209003,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,3,3,0,0.9001943353537055,0.9757491727174445,0.0026161846113628632,0,65.79485710591827,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,3,10,0.5555555555555556,0.15821831234854378,0.2384954009115155,0.0005945120929253311,0,16.02669457514748,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,3,30,0.7777777777777778,7.039950855765008e-12,1.332421689751341e-10,1.9019900079760083e-12,0,8.917689172035389e-9,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,3,100,0.7777777777777778,1.0094567462038717e-51,9.191612806278624e-51,6.566084250301159e-52,0,6.234781385907153e-49,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,3,300,0.7777777777777778,4.640779965633937e-166,2.6068891074032806e-165,4.924829466459502e-165,0,2.2195887380800794e-163,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,3,1000,0.7777777777777778,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.8,0.2,0,3,3000,0.7777777777777778,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,1,1,0,1.348753755046491,1.3785424208919668,0.003285618239171421,0,40.83458979536011,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,1,3,0,0.7415207702541187,0.7877138148058704,0.0026062163496651095,0,22.79870014739733,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,1,10,0.3333333333333333,0.0033577181176324632,0.008469298343487891,0.00004083943468444367,0,0.24484811381745133,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,1,30,0.3333333333333333,5.5711366055142485e-21,3.1528917733572697e-20,4.693801578234644e-22,0,9.199417419645317e-19,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,1,100,0.3333333333333333,8.698761468830097e-83,1.235116761299802e-81,1.7968355231731105e-82,0,3.92968142369737e-80,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,1,300,0.3333333333333333,2.2293074463620964e-257,1.0770464161442951e-256,1.2823402999412962e-256,0,6.0309633815997e-255,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,1,1000,0.3333333333333333,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,1,3000,0.3333333333333333,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,2,1,0,1.329733461325417,1.3650799385466916,0.0021470645082447733,0,54.138637542987304,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,2,3,0,0.7157469320545814,0.7685868025472646,0.0017623039571938806,0,29.714589156807712,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,2,10,0.4444444444444444,0.0021376550789773013,0.007111437387378658,0.000018151528654559168,0,0.2741356016677393,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,2,30,0.4444444444444444,3.1280689751984553e-21,2.5945551783934244e-20,4.2314368945269627e-22,0,1.0037491263797383e-18,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,2,100,0.4444444444444444,6.422213974009843e-83,1.0102339311690722e-81,1.566251503378164e-82,0,4.224748091294697e-80,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,2,300,0.4444444444444444,1.0702235842221064e-257,8.028455748952381e-257,9.882583770158143e-257,0,5.425128741186178e-255,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,2,1000,0.4444444444444444,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,2,3000,0.4444444444444444,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,3,1,0,1.3418998830799973,1.385269548329791,0.0027001420398818183,0,95.59039321773939,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,3,3,0,0.7291901006119997,0.7964774048347973,0.0018620922328165302,0,53.688596472465974,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,3,10,0.7777777777777778,0.0027115390227832933,0.010860199143890694,0.000042666634963873616,0,0.7284832131226983,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,3,30,0.7777777777777778,5.616824123089452e-21,5.398856973274516e-20,1.2220592480934584e-21,0,3.619004687978681e-18,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,3,100,0.7777777777777778,3.6589818902762666e-82,3.080613487336404e-81,2.2937016220294893e-82,0,2.085846309011057e-79,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,3,300,0.7777777777777778,8.306570249470413e-257,4.92040623322206e-256,7.896437603288913e-256,0,4.055141841717094e-254,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,3,1000,0.7777777777777778,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.2,-0.9,0.3,0,3,3000,0.7777777777777778,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,1,1,0,1.5020418735034888,1.5352160710086258,0.0036590342433650332,0,45.47550917317356,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,1,3,0,1.0781574722836256,1.1369708171366733,0.00465357762910705,0,32.937802895437386,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,1,10,0,0.4319298574722581,0.5121205858127137,0.0017166245603079118,0,14.795058353260993,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,1,30,0.3333333333333333,2.308275873757401e-8,0.0000013045121587544637,1.5522234619697523e-8,0,0.0000377209411814572,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,1,100,0.3333333333333333,1.3680267212226713e-45,2.833079328848706e-44,2.0353159327198737e-45,0,8.75962780490474e-43,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,1,300,0.3333333333333333,3.261601872092013e-152,1.5445822860427554e-151,2.1425245915323602e-151,0,8.827028070440216e-150,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,1,1000,0.3333333333333333,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,1,3000,0.3333333333333333,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,2,1,0,1.480859891612062,1.5202235550447252,0.0023910819780336105,0,60.29158418260851,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,2,3,0,1.0460270883770324,1.1125865671515016,0.0031031624468895935,0,43.04347400190333,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,2,10,0,0.38382699204779663,0.4750762597984204,0.0011021206789204917,0,18.32269756035675,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,2,30,0.4444444444444444,6.6618563667120925e-9,9.138498570758332e-7,1.239399080923168e-8,0,0.00003514225659799288,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,2,100,0.4444444444444444,8.286027266248663e-46,2.018037291844381e-44,1.9340104215856334e-45,0,8.275147201118511e-43,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,2,300,0.4444444444444444,1.7261368672040616e-152,1.1347384430610474e-151,2.0383024093926148e-151,0,8.475223388178869e-150,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,2,1000,0.4444444444444444,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,2,3000,0.4444444444444444,0,0,0,0,0,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,3,1,0,1.4944090475330054,1.5427077477229252,0.0030070176955094485,0,106.45440116884747,NaN,NaN
0,3,3,120,9,69.44444444444444,2.4,-0.8,0.2,0,3,3,0,1.0616334899533382,1.1470999181244363,0.003100105757353389,0,77.36013720711976,NaN,NaN
