mask,cellPx,pitchPx,cells,kerr,G0,s,T,seed,lyapunov,energy_final_rel,mean_cell_I,max_cell_I,pattern_corr_T_vs_0,pattern_corr_T_vs_half,ber,fill_fraction,input_response,pulse_cell_final_I,thr,class,analytic
zero,2.0,4.0,12.0,0.0,1.6,-0.2,3000.0,7.0,-0.0664010330142163,1.6866423140586554e-171,2.4720771760949384e-172,5.089288954815676e-171,0.0,0.0,0.4305555555555556,0.0,1.7101452083132912e-92,5.206481649356082e-94,0.44999999999999996,extinct (trivial attractor),monostable-off
zero,2.0,4.0,12.0,0.0,1.6,-0.4,3000.0,7.0,-0.2102402033707312,0.0,0.0,0.0,0.0,0.0,0.4305555555555556,0.0,0.0,2.368837692635682e-281,0.44999999999999996,extinct (trivial attractor),monostable-off
zero,2.0,4.0,12.0,0.0,1.6,-0.6,3000.0,7.0,-0.4129703047388126,0.0,0.0,0.0,0.0,0.0,0.4305555555555556,0.0,0.0,0.0,0.44999999999999996,extinct (trivial attractor),monostable-off
zero,2.0,4.0,12.0,0.0,1.6,-0.8,3000.0,7.0,-0.759541521189198,0.0,0.0,0.0,0.0,0.0,0.4305555555555556,0.0,0.0,0.0,0.44999999999999996,extinct (trivial attractor),monostable-off
zero,2.0,4.0,12.0,0.0,1.8,-0.2,3000.0,7.0,0.0005228207791270232,4.307665241490856,0.7087698656055884,1.2314064727189136,-0.04862349756708139,0.9598604399796583,0.5763888888888888,0.434814453125,0.001250297884953138,0.11596410784132538,0.44999999999999996,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,1.8,-0.4,3000.0,7.0,-0.0001329362723136384,3.4546036336505996,0.5748843730755229,1.0291400899908274,-0.05196932319155741,0.9540072144006901,0.5625,0.390625,0.0004951734872483777,0.045641006646381585,0.44999999999999996,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,1.8,-0.6,3000.0,7.0,-0.35407511920245666,0.0,0.0,0.0,0.0,0.0,0.4305555555555556,0.0,0.0,0.0,0.44999999999999996,extinct (trivial attractor),bistable
zero,2.0,4.0,12.0,0.0,1.8,-0.8,3000.0,7.0,-0.7006488365979381,0.0,0.0,0.0,0.0,0.0,0.4305555555555556,0.0,0.0,0.0,0.44999999999999996,extinct (trivial attractor),monostable-off
zero,2.0,4.0,12.0,0.0,1.9,-0.2,3000.0,7.0,-0.00027314052421828283,6.423556766250567,0.9627925879102095,1.5468344653031845,-0.07453572783640665,0.9141012562333414,0.5833333333333334,0.5322265625,0.0034527422154704687,0.22258719382845032,0.4640503395909553,saturated/lasing everywhere,off-unstable
zero,2.0,4.0,12.0,0.0,1.9,-0.4,3000.0,7.0,-0.00013219897385188494,5.406603722740038,0.8819151689768742,1.4310338219528753,-0.057755754851852574,0.9904314451596118,0.5555555555555556,0.447509765625,0.0008139684162367676,0.13493505198399464,0.44999999999999996,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,1.9,-0.6,3000.0,7.0,0.001702112012792061,2.1488313187588637,0.36617673991780453,1.2546914398646427,0.027790928532132057,0.6585547008895313,0.4583333333333333,0.196044921875,0.004788938479867108,0.0008480821693195112,0.44999999999999996,chaotic/expanding,bistable
zero,2.0,4.0,12.0,0.0,1.9,-0.8,3000.0,7.0,-0.6736150085211688,0.0,0.0,0.0,0.0,0.0,0.4305555555555556,0.0,0.0,0.0,0.44999999999999996,extinct (trivial attractor),bistable
zero,2.0,4.0,12.0,0.0,2.0,-0.2,3000.0,7.0,0.002633689646395175,8.598596209910477,1.2086065288612395,2.1155103630296765,-0.03248248412292981,0.8845592250888807,0.5694444444444444,0.62841796875,0.02282372387776671,0.43678072163330933,0.6346531089089029,saturated/lasing everywhere,off-unstable
zero,2.0,4.0,12.0,0.0,2.0,-0.4,3000.0,7.0,0.0001824942340885406,7.16496482766813,1.174544314910425,1.8529713384114104,-0.05928722609568078,0.9783051649452648,0.5833333333333334,0.4697265625,0.0008926647433762462,0.20997621838581965,0.5558914015234231,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,2.0,-0.6,3000.0,7.0,-0.00015597072154521964,6.478779329327927,1.0625121796358559,1.7458082122381111,-0.05529667251595725,0.9921822178889738,0.5555555555555556,0.4521484375,0.00023133078175883022,0.1380729847449207,0.5237424636714333,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,2.0,-0.8,3000.0,7.0,0.0016768749626190568,0.2935809035377686,0.06375182419597683,1.385790082641963,0.2545283206655868,0.9413881659517972,0.3819444444444444,0.026123046875,0.00021551863119510732,4.3729882512425624e-06,0.44999999999999996,chaotic/expanding,bistable
zero,2.0,4.0,12.0,0.0,2.1,-0.2,3000.0,7.0,0.001719451843578836,10.715485620692037,1.462274034476382,2.5456000047979805,-0.030776008501451617,0.9127204806551705,0.5763888888888888,0.679931640625,0.009406369183904608,0.5032428351782553,0.7636800014393942,saturated/lasing everywhere,off-unstable
zero,2.0,4.0,12.0,0.0,2.1,-0.4,3000.0,7.0,0.0005904510056071309,10.136849883579854,1.4493376693151363,2.257688662977022,-0.04076661817389926,0.9453810741679013,0.5902777777777778,0.654052734375,0.004982349645651,0.4261152244447357,0.6773065988931066,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,2.1,-0.6,3000.0,7.0,0.0002960734236069837,8.28110241076765,1.3514015479389612,2.1815571433537433,-0.05668193070876294,0.987470723284023,0.5833333333333334,0.474853515625,0.0051350393544644796,0.2288218872136717,0.654467143006123,saturated/lasing everywhere,bistable
