mask,cellPx,pitchPx,cells,kerr,G0,s,T,seed,lyapunov,energy_final_rel,mean_cell_I,max_cell_I,pattern_corr_T_vs_0,pattern_corr_T_vs_half,ber,fill_fraction,input_response,pulse_cell_final_I,energy_trace,thr
moat,4,6,8,0,1.6,-0.2,3000,7,-0.06668605899366206,1.8284065514342712e-173,1.456542007312575e-173,2.1922578126759622e-172,0,0,0.53125,0,2.3034082475693237e-95,1.323744942760283e-100,2.606e-3 3.685e-6 9.095e-10 2.476e-13 7.144e-17 2.140e-20 6.582e-24 2.065e-27 6.579e-31 2.120e-34 6.897e-38 2.259e-41 7.438e-45 2.459e-48 8.154e-52 2.710e-55 9.023e-59 3.008e-62 1.004e-65 3.352e-69 1.120e-72 3.744e-76 1.252e-79 4.187e-83 1.401e-86 4.686e-90 1.568e-93 5.247e-97 1.756e-100 5.876e-104 1.967e-107 6.582e-111 2.203e-114 7.372e-118 2.467e-121 8.258e-125 2.764e-128 9.251e-132 3.096e-135 1.036e-138 3.469e-142 1.161e-145 3.886e-149 1.301e-152 4.353e-156 1.457e-159 4.876e-163 1.632e-166 5.463e-170 1.828e-173,0.44999999999999996
moat,4,6,8,0,1.6,-0.4,3000,7,-0.2105271057403891,0,0,0,0,0,0.53125,0,0,6.284346208625616e-288,1.425e-8 9.569e-20 7.647e-31 6.746e-42 6.303e-53 6.102e-64 6.053e-75 6.110e-86 6.250e-97 6.457e-108 6.724e-119 7.043e-130 7.411e-141 7.825e-152 8.284e-163 8.788e-174 9.336e-185 9.930e-196 1.057e-206 1.126e-217 1.200e-228 1.280e-239 1.365e-250 1.456e-261 1.553e-272 1.657e-283 1.768e-294 1.887e-305 2.014e-316 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0,0.44999999999999996
moat,4,6,8,0,1.6,-0.6,3000,7,-0.4132596473077382,0,0,0,0,0,0.53125,0,0,0,5.786e-17 1.098e-38 2.435e-60 5.896e-82 1.504e-103 3.967e-125 1.071e-146 2.941e-168 8.185e-190 2.301e-211 6.517e-233 1.857e-254 5.315e-276 1.527e-297 4.396e-319 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0,0.44999999999999996
moat,4,6,8,0,1.6,-0.8,3000,7,-0.7598332357052976,0,0,0,0,0,0.53125,0,0,0,3.104e-31 5.388e-71 1.064e-110 2.256e-150 5.003e-190 1.144e-229 2.676e-269 6.368e-309 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0,0.44999999999999996
moat,4,6,8,0,1.8,-0.2,3000,7,0.00024957435629481534,0.1522080708643491,0.11955611518288622,0.5677446646538318,-0.13172749612109771,0.9995259667107177,0.59375,0.032958984375,0.000040852501108780435,0.00031037248883783344,1.133e-1 1.431e-1 1.482e-1 1.492e-1 1.496e-1 1.497e-1 1.497e-1 1.498e-1 1.498e-1 1.500e-1 1.501e-1 1.503e-1 1.505e-1 1.507e-1 1.509e-1 1.511e-1 1.512e-1 1.514e-1 1.516e-1 1.517e-1 1.518e-1 1.519e-1 1.520e-1 1.521e-1 1.522e-1 1.522e-1 1.523e-1 1.523e-1 1.523e-1 1.523e-1 1.523e-1 1.523e-1 1.523e-1 1.523e-1 1.523e-1 1.523e-1 1.523e-1 1.523e-1 1.523e-1 1.523e-1 1.522e-1 1.522e-1 1.522e-1 1.522e-1 1.522e-1 1.522e-1 1.522e-1 1.522e-1 1.522e-1 1.522e-1,0.44999999999999996
moat,4,6,8,0,1.8,-0.4,3000,7,-0.00002439597864426483,0.018439931672076137,0.014526156939759456,0.3225996161553207,0.23329265260253979,0.9997380216552425,0.53125,0.004150390625,0.000005729664610970372,0.000007642652777032043,2.577e-2 1.985e-2 1.922e-2 1.906e-2 1.901e-2 1.899e-2 1.898e-2 1.897e-2 1.897e-2 1.897e-2 1.896e-2 1.896e-2 1.895e-2 1.894e-2 1.893e-2 1.892e-2 1.890e-2 1.889e-2 1.888e-2 1.886e-2 1.884e-2 1.883e-2 1.881e-2 1.879e-2 1.878e-2 1.876e-2 1.875e-2 1.873e-2 1.871e-2 1.870e-2 1.868e-2 1.867e-2 1.865e-2 1.864e-2 1.862e-2 1.861e-2 1.859e-2 1.858e-2 1.857e-2 1.855e-2 1.854e-2 1.853e-2 1.852e-2 1.851e-2 1.849e-2 1.848e-2 1.847e-2 1.846e-2 1.845e-2 1.844e-2,0.44999999999999996
moat,4,6,8,0,1.8,-0.6,3000,7,-0.3543682308267367,0,0,0,0,0,0.53125,0,0,0,2.131e-4 1.082e-22 2.846e-41 7.977e-60 2.330e-78 7.027e-97 2.176e-115 6.888e-134 2.218e-152 7.238e-171 2.387e-189 7.934e-208 2.653e-226 8.912e-245 3.004e-263 1.015e-281 3.436e-300 1.165e-318 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0,0.44999999999999996
moat,4,6,8,0,1.8,-0.8,3000,7,-0.7009417660335773,0,0,0,0,0,0.53125,0,0,0,4.156e-20 8.796e-57 2.064e-93 5.114e-130 1.315e-166 3.486e-203 9.464e-240 2.620e-276 7.363e-313 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0,0.44999999999999996
moat,4,6,8,0,1.9,-0.2,3000,7,-0.00015332767591412562,0.27920443970919323,0.21675242826525637,0.8046194233201507,-0.10758759600516045,0.9999866810262478,0.5625,0.05078125,0.000010248939422111923,0.0021899351071959197,2.340e-1 2.629e-1 2.668e-1 2.680e-1 2.701e-1 2.724e-1 2.742e-1 2.754e-1 2.762e-1 2.768e-1 2.772e-1 2.775e-1 2.777e-1 2.780e-1 2.781e-1 2.783e-1 2.784e-1 2.785e-1 2.787e-1 2.787e-1 2.788e-1 2.789e-1 2.789e-1 2.790e-1 2.790e-1 2.791e-1 2.791e-1 2.791e-1 2.791e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1 2.792e-1,0.44999999999999996
moat,4,6,8,0,1.9,-0.4,3000,7,0.00005109853168237886,0.16932292977342522,0.13343278359429891,0.6872259910590071,-0.11780480293226213,0.9997734399343997,0.578125,0.0341796875,0.000010444330998811664,0.0002244059106163681,8.250e-2 1.016e-1 1.136e-1 1.272e-1 1.284e-1 1.287e-1 1.291e-1 1.297e-1 1.331e-1 1.425e-1 1.521e-1 1.593e-1 1.677e-1 1.682e-1 1.685e-1 1.686e-1 1.688e-1 1.688e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.689e-1 1.690e-1 1.690e-1 1.690e-1 1.690e-1 1.691e-1 1.691e-1 1.691e-1 1.692e-1 1.692e-1 1.692e-1 1.693e-1 1.693e-1,0.44999999999999996
moat,4,6,8,0,1.9,-0.6,3000,7,-8.424641513902535e-12,0.013830491475831735,0.010927130139795668,0.4001889532057883,0.1660462140539649,0.9999999999999947,0.53125,0.003173828125,1.0854253583650261e-11,0.00001196500971894994,3.105e-2 2.491e-2 2.377e-2 2.278e-2 2.090e-2 1.408e-2 1.382e-2 1.382e-2 1.382e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2 1.383e-2,0.44999999999999996
moat,4,6,8,0,1.9,-0.8,3000,7,-0.6739082282373975,0,0,0,0,0,0.53125,0,0,0,3.211e-4 1.045e-38 6.069e-74 3.761e-109 2.429e-144 1.622e-179 1.112e-214 7.802e-250 5.571e-285 4.035e-320 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0,0.44999999999999996
moat,4,6,8,0,2,-0.2,3000,7,-0.00013806521767987276,0.41148046013785444,0.31663906213829146,1.046487055264103,-0.08614850388885553,0.999988188205081,0.53125,0.0712890625,0.0003009885875271291,0.006560944852016011,3.647e-1 3.873e-1 3.922e-1 3.951e-1 3.973e-1 4.003e-1 4.037e-1 4.063e-1 4.083e-1 4.097e-1 4.106e-1 4.111e-1 4.114e-1 4.116e-1 4.117e-1 4.117e-1 4.117e-1 4.117e-1 4.117e-1 4.117e-1 4.116e-1 4.116e-1 4.116e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1 4.115e-1,0.44999999999999996
moat,4,6,8,0,2,-0.4,3000,7,-0.0005086145519490428,0.285405837709316,0.22266494250557925,0.9985538685686511,-0.09036286525266626,0.9987905752823274,0.5625,0.052734375,0.000024472715339980863,0.0011234946243512114,2.210e-1 2.678e-1 2.698e-1 2.709e-1 2.723e-1 2.859e-1 2.887e-1 2.893e-1 2.895e-1 2.897e-1 2.898e-1 2.899e-1 2.899e-1 2.900e-1 2.901e-1 2.901e-1 2.902e-1 2.902e-1 2.902e-1 2.901e-1 2.900e-1 2.896e-1 2.885e-1 2.869e-1 2.867e-1 2.867e-1 2.866e-1 2.866e-1 2.866e-1 2.866e-1 2.866e-1 2.866e-1 2.865e-1 2.865e-1 2.864e-1 2.864e-1 2.863e-1 2.862e-1 2.862e-1 2.861e-1 2.860e-1 2.859e-1 2.858e-1 2.858e-1 2.857e-1 2.856e-1 2.856e-1 2.855e-1 2.855e-1 2.854e-1,0.44999999999999996
moat,4,6,8,0,2,-0.6,3000,7,0.0003614793959564778,0.06840347093000836,0.053474067194170714,0.6848088435911803,0.2963144892637926,0.9997578556382548,0.453125,0.013427734375,0.00005429277430092789,0.0004257155232653434,7.706e-2 7.564e-2 7.544e-2 7.525e-2 7.507e-2 7.488e-2 7.469e-2 7.448e-2 7.423e-2 7.384e-2 7.294e-2 6.922e-2 6.927e-2 6.923e-2 6.919e-2 6.915e-2 6.911e-2 6.907e-2 6.903e-2 6.899e-2 6.895e-2 6.892e-2 6.888e-2 6.885e-2 6.881e-2 6.878e-2 6.875e-2 6.871e-2 6.868e-2 6.865e-2 6.863e-2 6.860e-2 6.857e-2 6.855e-2 6.852e-2 6.850e-2 6.848e-2 6.846e-2 6.844e-2 6.843e-2 6.841e-2 6.840e-2 6.839e-2 6.838e-2 6.838e-2 6.838e-2 6.838e-2 6.838e-2 6.839e-2 6.840e-2,0.44999999999999996
moat,4,6,8,0,2,-0.8,3000,7,-4.3403807650696595e-11,0.01821602501592331,0.014378993160677374,0.49265393609409647,0.1678241619330906,0.9999999999999903,0.515625,0.00390625,3.029199687766499e-13,0.000016227428198197,4.041e-2 3.332e-2 3.235e-2 3.176e-2 3.132e-2 3.089e-2 3.029e-2 2.854e-2 2.396e-2 2.243e-2 1.807e-2 1.818e-2 1.820e-2 1.821e-2 1.821e-2 1.821e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2 1.822e-2,0.44999999999999996
moat,4,6,8,0,2.1,-0.2,3000,7,-0.00017601342716850742,0.5529947332103842,0.42117120022306975,1.3827525788405144,-0.06756007584963032,0.996074095714613,0.53125,0.08740234375,0.001449782472789392,0.006333232183451583,5.071e-1 5.305e-1 5.329e-1 5.322e-1 5.323e-1 5.344e-1 5.380e-1 5.424e-1 5.472e-1 5.508e-1 5.524e-1 5.529e-1 5.528e-1 5.525e-1 5.520e-1 5.515e-1 5.510e-1 5.504e-1 5.499e-1 5.492e-1 5.486e-1 5.479e-1 5.473e-1 5.467e-1 5.462e-1 5.459e-1 5.459e-1 5.463e-1 5.471e-1 5.482e-1 5.493e-1 5.504e-1 5.514e-1 5.523e-1 5.530e-1 5.537e-1 5.542e-1 5.547e-1 5.550e-1 5.552e-1 5.553e-1 5.552e-1 5.551e-1 5.550e-1 5.547e-1 5.544e-1 5.541e-1 5.538e-1 5.534e-1 5.530e-1,0.44999999999999996
moat,4,6,8,0,2.1,-0.4,3000,7,-0.00006849237681161944,0.4515179282894328,0.34890882974434,1.2074415833303769,-0.09353688840696377,0.9994507398758354,0.53125,0.072265625,0.0000221803629552072,0.0029934100884075193,3.546e-1 4.099e-1 4.229e-1 4.297e-1 4.319e-1 4.354e-1 4.387e-1 4.410e-1 4.427e-1 4.441e-1 4.453e-1 4.464e-1 4.474e-1 4.482e-1 4.490e-1 4.497e-1 4.501e-1 4.504e-1 4.506e-1 4.508e-1 4.509e-1 4.510e-1 4.511e-1 4.512e-1 4.514e-1 4.516e-1 4.519e-1 4.523e-1 4.526e-1 4.529e-1 4.531e-1 4.532e-1 4.532e-1 4.531e-1 4.530e-1 4.528e-1 4.526e-1 4.523e-1 4.521e-1 4.519e-1 4.517e-1 4.516e-1 4.516e-1 4.515e-1 4.515e-1 4.515e-1 4.515e-1 4.515e-1 4.515e-1 4.515e-1,0.44999999999999996
moat,4,6,8,0,2.1,-0.6,3000,7,-0.0005199382128769405,0.16520335476173123,0.1286624474843503,0.955740084266874,0.21907576361174846,0.9996914528004915,0.453125,0.02978515625,0.00007865297108300217,0.0003899970569748454,1.691e-1 1.705e-1 1.683e-1 1.651e-1 1.647e-1 1.645e-1 1.643e-1 1.642e-1 1.642e-1 1.641e-1 1.640e-1 1.640e-1 1.639e-1 1.639e-1 1.639e-1 1.638e-1 1.638e-1 1.638e-1 1.638e-1 1.638e-1 1.638e-1 1.638e-1 1.637e-1 1.637e-1 1.637e-1 1.637e-1 1.637e-1 1.637e-1 1.637e-1 1.636e-1 1.636e-1 1.636e-1 1.636e-1 1.635e-1 1.635e-1 1.634e-1 1.634e-1 1.633e-1 1.633e-1 1.632e-1 1.632e-1 1.633e-1 1.633e-1 1.635e-1 1.636e-1 1.638e-1 1.641e-1 1.644e-1 1.648e-1 1.652e-1,0.44999999999999996
moat,4,6,8,0,2.1,-0.8,3000,7,-0.000024462392432140397,0.08161651562173826,0.06379548238692447,0.8099000888459631,0.29749686675366777,0.9998444296595993,0.4375,0.01611328125,0.000014972242701453546,0.0005288522324084925,9.098e-2 9.008e-2 8.982e-2 8.959e-2 8.939e-2 8.922e-2 8.905e-2 8.889e-2 8.870e-2 8.844e-2 8.794e-2 8.582e-2 8.261e-2 8.260e-2 8.256e-2 8.253e-2 8.250e-2 8.247e-2 8.244e-2 8.240e-2 8.237e-2 8.234e-2 8.231e-2 8.227e-2 8.224e-2 8.221e-2 8.218e-2 8.215e-2 8.212e-2 8.209e-2 8.207e-2 8.204e-2 8.201e-2 8.198e-2 8.196e-2 8.193e-2 8.190e-2 8.188e-2 8.185e-2 8.183e-2 8.180e-2 8.178e-2 8.176e-2 8.173e-2 8.171e-2 8.169e-2 8.167e-2 8.165e-2 8.163e-2 8.162e-2,0.44999999999999996
