mask,cellPx,pitchPx,cells,kerr,G0,s,T,seed,lyapunov,energy_final_rel,mean_cell_I,max_cell_I,pattern_corr_T_vs_0,pattern_corr_T_vs_half,ber,fill_fraction,input_response,pulse_cell_final_I,energy_trace,thr
zero,2,4,12,0,1.6,-0.2,3000,7,-0.0664010330142163,1.6866423140586554e-171,2.4720771760949384e-172,5.089288954815676e-171,0,0,0.4305555555555556,0,1.7101452083132912e-92,5.206481649356082e-94,1.884e-2 2.305e-5 7.856e-9 2.698e-12 9.286e-16 3.200e-19 1.103e-22 3.806e-26 1.313e-29 4.533e-33 1.565e-36 5.405e-40 1.867e-43 6.450e-47 2.229e-50 7.701e-54 2.662e-57 9.201e-61 3.181e-64 1.100e-67 3.804e-71 1.316e-74 4.551e-78 1.575e-81 5.448e-85 1.885e-88 6.525e-92 2.258e-95 7.817e-99 2.706e-102 9.371e-106 3.245e-109 1.124e-112 3.892e-116 1.348e-119 4.671e-123 1.618e-126 5.607e-130 1.943e-133 6.733e-137 2.333e-140 8.087e-144 2.803e-147 9.716e-151 3.368e-154 1.168e-157 4.048e-161 1.403e-164 4.865e-168 1.687e-171,0.44999999999999996
zero,2,4,12,0,1.6,-0.4,3000,7,-0.2102402033707312,0,0,0,0,0,0.4305555555555556,0,0,2.368837692635682e-281,1.281e-9 1.374e-20 1.501e-31 1.646e-42 1.808e-53 1.987e-64 2.185e-75 2.404e-86 2.645e-97 2.912e-108 3.206e-119 3.530e-130 3.889e-141 4.284e-152 4.720e-163 5.202e-174 5.734e-185 6.321e-196 6.969e-207 7.684e-218 8.474e-229 9.347e-240 1.031e-250 1.138e-261 1.255e-272 1.385e-283 1.529e-294 1.687e-305 1.863e-316 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0,0.44999999999999996
zero,2,4,12,0,1.6,-0.6,3000,7,-0.4129703047388126,0,0,0,0,0,0.4305555555555556,0,0,0,2.286e-19 6.696e-41 1.991e-62 5.938e-84 1.774e-105 5.301e-127 1.585e-148 4.742e-170 1.419e-191 4.247e-213 1.272e-234 3.808e-256 1.141e-277 3.417e-299 1.024e-320 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0,0.44999999999999996
zero,2,4,12,0,1.6,-0.8,3000,7,-0.759541521189198,0,0,0,0,0,0.4305555555555556,0,0,0,1.162e-35 2.958e-75 7.630e-115 1.974e-154 5.115e-194 1.326e-233 3.439e-273 8.924e-313 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0,0.44999999999999996
zero,2,4,12,0,1.8,-0.2,3000,7,0.0005228207791270232,4.307665241490856,0.7087698656055884,1.2314064727189136,-0.04862349756708139,0.9598604399796583,0.5763888888888888,0.434814453125,0.001250297884953138,0.11596410784132538,2.084e+0 3.525e+0 4.075e+0 4.212e+0 4.244e+0 4.252e+0 4.255e+0 4.259e+0 4.266e+0 4.275e+0 4.281e+0 4.280e+0 4.276e+0 4.273e+0 4.274e+0 4.279e+0 4.283e+0 4.285e+0 4.286e+0 4.286e+0 4.288e+0 4.293e+0 4.299e+0 4.301e+0 4.300e+0 4.299e+0 4.300e+0 4.304e+0 4.307e+0 4.307e+0 4.305e+0 4.305e+0 4.308e+0 4.310e+0 4.311e+0 4.311e+0 4.310e+0 4.309e+0 4.308e+0 4.308e+0 4.309e+0 4.309e+0 4.310e+0 4.310e+0 4.308e+0 4.305e+0 4.305e+0 4.306e+0 4.306e+0 4.308e+0,0.44999999999999996
zero,2,4,12,0,1.8,-0.4,3000,7,-0.0001329362723136384,3.4546036336505996,0.5748843730755229,1.0291400899908274,-0.05196932319155741,0.9540072144006901,0.5625,0.390625,0.0004951734872483777,0.045641006646381585,4.770e-1 6.275e-1 7.360e-1 8.477e-1 9.694e-1 1.100e+0 1.233e+0 1.373e+0 1.536e+0 1.699e+0 1.866e+0 2.029e+0 2.191e+0 2.355e+0 2.506e+0 2.632e+0 2.752e+0 2.854e+0 2.950e+0 3.036e+0 3.112e+0 3.172e+0 3.219e+0 3.260e+0 3.305e+0 3.346e+0 3.381e+0 3.406e+0 3.424e+0 3.433e+0 3.437e+0 3.438e+0 3.437e+0 3.437e+0 3.438e+0 3.439e+0 3.441e+0 3.442e+0 3.441e+0 3.440e+0 3.441e+0 3.442e+0 3.444e+0 3.446e+0 3.449e+0 3.451e+0 3.453e+0 3.455e+0 3.455e+0 3.455e+0,0.44999999999999996
zero,2,4,12,0,1.8,-0.6,3000,7,-0.35407511920245666,0,0,0,0,0,0.4305555555555556,0,0,0,1.681e-10 5.755e-29 2.009e-47 7.038e-66 2.469e-84 8.664e-103 3.042e-121 1.068e-139 3.751e-158 1.318e-176 4.628e-195 1.626e-213 5.715e-232 2.008e-250 7.060e-269 2.482e-287 8.727e-306 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0,0.44999999999999996
zero,2,4,12,0,1.8,-0.8,3000,7,-0.7006488365979381,0,0,0,0,0,0.4305555555555556,0,0,0,3.955e-29 1.182e-65 3.581e-102 1.088e-138 3.309e-175 1.007e-211 3.065e-248 9.331e-285 2.841e-321 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0 0.000e+0,0.44999999999999996
zero,2,4,12,0,1.9,-0.2,3000,7,-0.00027314052421828283,6.423556766250567,0.9627925879102095,1.5468344653031845,-0.07453572783640665,0.9141012562333414,0.5833333333333334,0.5322265625,0.0034527422154704687,0.22258719382845032,4.123e+0 5.588e+0 5.779e+0 5.828e+0 5.848e+0 5.864e+0 5.873e+0 5.882e+0 5.895e+0 5.907e+0 5.916e+0 5.925e+0 5.941e+0 5.977e+0 6.030e+0 6.090e+0 6.158e+0 6.227e+0 6.284e+0 6.334e+0 6.366e+0 6.383e+0 6.399e+0 6.409e+0 6.418e+0 6.423e+0 6.428e+0 6.430e+0 6.432e+0 6.433e+0 6.433e+0 6.433e+0 6.432e+0 6.432e+0 6.429e+0 6.426e+0 6.423e+0 6.418e+0 6.415e+0 6.412e+0 6.411e+0 6.412e+0 6.414e+0 6.417e+0 6.419e+0 6.421e+0 6.423e+0 6.425e+0 6.425e+0 6.424e+0,0.4640503395909553
zero,2,4,12,0,1.9,-0.4,3000,7,-0.00013219897385188494,5.406603722740038,0.8819151689768742,1.4310338219528753,-0.057755754851852574,0.9904314451596118,0.5555555555555556,0.447509765625,0.0008139684162367676,0.13493505198399464,1.767e+0 3.426e+0 4.679e+0 5.169e+0 5.249e+0 5.284e+0 5.314e+0 5.335e+0 5.350e+0 5.355e+0 5.351e+0 5.344e+0 5.342e+0 5.347e+0 5.355e+0 5.358e+0 5.358e+0 5.355e+0 5.353e+0 5.355e+0 5.363e+0 5.372e+0 5.379e+0 5.380e+0 5.379e+0 5.381e+0 5.384e+0 5.388e+0 5.392e+0 5.395e+0 5.397e+0 5.397e+0 5.397e+0 5.399e+0 5.399e+0 5.398e+0 5.397e+0 5.396e+0 5.398e+0 5.400e+0 5.401e+0 5.402e+0 5.403e+0 5.402e+0 5.400e+0 5.398e+0 5.402e+0 5.405e+0 5.406e+0 5.407e+0,0.44999999999999996
