q,t,time_s,decoded,expected,ok,best_overlap,second_overlap,contrast,near_plus,near_minus,energy
2,3,2.0019527329940924e-9,1,1,1,1,1.3262458270623972e-10,7540080274.672578,2.1252595584978435e-7,0.7087181842252349,22.054311207894656
2,4,2.66927031065879e-9,0,0,1,0.9995107480098953,1.0108166178816399e-10,9888151127.793701,0.7051907740275177,2.7675576031313524e-7,21.24002784418205
2,5,3.3365878883234876e-9,1,1,1,0.9995820667973931,1.0279635795548566e-10,9723905463.94889,3.485563923648849e-7,0.7023430506821864,20.502617667782328
2,6,4.003905465988185e-9,0,0,1,0.998316297481554,7.356440649576693e-11,13570642992.124182,0.7001065606666169,4.247881503047149e-7,19.830075800152105
2,7,4.671223043652883e-9,1,1,1,0.9985419862596239,7.748908490912893e-11,12886227620.710829,5.066442846738951e-7,0.6984083950955172,19.212792953393016
2,8,5.33854062131758e-9,0,0,1,0.9966866870847746,5.190259297145315e-11,19203023009.52402,0.6971987424343279,5.920640775631622e-7,18.6429947681836
2,9,6.005858198982277e-9,1,1,1,0.9970953334739763,5.762612105392986e-11,17302836200.63264,6.817463989235906e-7,0.6964261722526828,18.11431622571584
2,10,6.673175776646975e-9,0,0,1,0.9947769410753708,3.638929816291487e-11,27337074120.576744,0.6960512419347397,7.753399540541701e-7,17.621503166356447
2,11,7.340493354311672e-9,1,1,1,0.9953699227465129,4.30019953464184e-11,23147063635.72072,8.721690900159841e-7,0.6960345299448408,17.160177025773653
2,12,8.00781093197637e-9,0,0,1,0.992679085225883,2.6175420924389786e-11,37924092532.96563,0.6963450410220533,9.71069583631992e-7,16.72666217767273
2,13,8.675128509641068e-9,1,1,1,0.9934440472859183,3.2814249440282764e-11,30274775874.238544,0.0000010714051085618998,0.6969543578254594,16.317846336934483
2,14,9.342446087305766e-9,0,0,1,0.990449224074639,2.0045752334428167e-11,49409431362.35216,0.6978373916320162,0.0000011720381374543467,15.931078884841796
2,15,1.0009763664970462e-8,1,1,1,0.991366892090546,2.6005149929457095e-11,38121944875.52576,0.0000012724675856265286,0.6989717795014235,15.564086782311296
2,16,1.067708124263516e-8,0,0,1,0.9881219024883664,1.6699179515506098e-11,59171883359.34956,0.7003380820915014,0.0000013719127478868855,15.214910089606878
2,17,1.1344398820299858e-8,1,1,1,0.9891693844603325,2.1557156304025146e-11,45885893784.40584,0.0000014697799131856402,0.7019188440526611,14.881848743958058
2,18,1.2011716397964554e-8,0,0,1,0.9857178018954903,1.4994029394878722e-11,65740687572.0923,0.703698033657619,0.0000015653231490607942,14.563421988528546
2,19,1.2679033975629252e-8,1,1,1,0.9868703027263765,1.8588923390782526e-11,53089158633.88433,0.0000016579111809877164,0.7056616317495377,14.258333527550732
2,20,1.334635155329395e-8,0,0,1,0.9832481338858833,1.4021632471844353e-11,70123656133.4966,0.7077967153979168,0.0000017471017669454474,13.965443948426064
2,21,1.4013669130958647e-8,1,1,1,0.9844798089280093,1.64162629285971e-11,59969788082.100426,0.0000018324994038991116,0.7100916578138378,13.683747766306695
2,22,1.4680986708623345e-8,0,0,1,0.9807172569142648,1.3133930086794883e-11,74670509926.06528,0.7125355477196661,0.0000019136411685506227,13.41235457896226
2,23,1.534830428628804e-8,1,1,1,0.9820017219138502,1.4550700033052865e-11,67488280267.14654,0.00000199014779196317,0.7151186734874837,13.150473306289278
2,24,1.601562186395274e-8,0,0,1,0.9781244196511707,1.1930381022903952e-11,81986016856.74304,0.7178317697473363,0.0000020618040600204345,12.897398616492783
2,25,1.6682939441617437e-8,1,1,1,0.9794350789495776,1.268175298996333e-11,77231836933.32681,0.0000021284013162857173,0.7206663620645761,12.652500050536933
2,26,1.7350257019282135e-8,0,0,1,0.9754650474582519,1.0231324116815915e-11,95341036636.20676,0.7236144273691294,0.0000021897753126397864,12.415212331255647
2,27,1.8017574596946833e-8,1,1,1,0.9767753569883221,1.065491727012014e-11,91673668807.12613,0.0000022458167365754084,0.7266684939674908,12.185027397028731
2,28,1.868489217461153e-8,0,0,1,0.9727317577806395,8.052607800087122e-12,120797110939.65303,0.7298214375824099,0.0000022964685510995945,11.961487288682715
2,29,1.9352209752276226e-8,1,1,1,0.9740154608091619,8.446970116733463e-12,115309447926.14284,0.0000023416831277338997,0.7330665090014024,11.744178320724615
2,30,2.0019527329940924e-8,0,0,1,0.9699152433199635,5.5742718118503006e-12,173998555516.79922,0.7363972914879833,0.0000023815020235186444,11.532725858633816
2,31,2.0686844907605622e-8,1,1,1,0.9711465822562997,6.144185728168156e-12,158059444362.83176,0.0000024160179061525542,0.7398076127756715,11.326789845366664
2,32,2.135416248527032e-8,0,0,1,0.9670050176244789,3.1150460777774026e-12,310430405676.1949,0.7432915645074598,0.0000024453123632786202,11.126060891002803
2,33,2.2021480062935018e-8,1,1,1,0.968158938407159,3.9206570684624046e-12,246937929408.56458,0.0000024694841342153552,0.7468434397971137,10.930256883578991
2,34,2.2688797640599716e-8,0,0,1,0.9639900829425211,1.1032202383976676e-12,873796590554.4242,0.7504577445382293,0.0000024887100154030424,10.739119998565778
2,35,2.3356115218264414e-8,1,1,1,0.9650424135466564,2.0192047245388355e-12,477931931229.53973,0.000002503199694601254,0.7541291423646619,10.552414059028777
2,36,2.402343279592911e-8,0,0,1,0.9608594913990324,5.0216803607869627e-14,960859491399.0323,0.7578524796143472,0.0000025131514535746745,10.369922249260114
2,37,2.4690750373593806e-8,1,1,1,0.9617871015972965,7.323462062096001e-13,961787101597.2965,0.00000251878311219282,0.7616227458768065,10.191445062584725
2,38,2.5358067951258504e-8,0,0,1,0.9576028194077085,5.223994851779037e-13,957602819407.7085,0.7654350795140176,0.0000025203530498249913,10.016798498668328
2,39,2.6025385528923203e-8,1,1,1,0.9583837485121648,3.8443457454367406e-13,958383748512.1648,0.0000025181333911619885,0.7692847553004714,9.845812459861394
2,40,2.66927031065879e-8,0,0,1,0.9542105433827559,3.112786865963466e-12,306545415562.0159,0.7731671901850754,0.0000025123988281639765,9.678329348220942
2,41,2.73600206842526e-8,1,1,1,0.9548240961353028,1.3136980976192268e-12,726821556540.0453,0.0000025034422608918965,0.7770779307352232,9.51420279699506
2,42,2.8027338261917293e-8,0,0,1,0.9506743170131021,8.411959309196027e-12,113014611943.47632,0.7810126547298207,0.000002491564465246596,9.353296552312685
2,43,2.869465583958199e-8,1,1,1,0.9511011230404355,3.854681540822711e-12,246739221636.82565,0.0000024770647264415508,0.784967175826626,9.195483480176119
2,44,2.936197341724669e-8,0,0,1,0.9469871531849712,1.6978993710352104e-11,55774044642.44501,0.7889374406943771,0.0000024602513522380824,9.04064468484317
2,45,3.0029290994911384e-8,1,1,1,0.9472091879803674,8.321061729338767e-12,113832731782.37042,0.0000024414417584339287,0.7929195306382582,8.88866871983177
2,46,3.069660857257608e-8,0,0,1,0.9431435079905416,2.931250774346906e-11,32175462988.173626,0.7969096634785492,0.00000242094461786575,8.739450889636508
2,47,3.136392615024078e-8,1,1,1,0.9431440765068377,1.498908921603239e-11,62922040353.06208,0.000002399060024509062,0.8009041984385266,8.592892630734866
2,48,3.203124372790548e-8,0,0,1,0.939139276384011,4.582337311815453e-11,20494765279.772434,0.8048996342414844,0.000002376091463805207,8.448900959383701
2,49,3.2698561305570176e-8,1,1,1,0.9389029592456587,2.4082177741921972e-11,38987460739.94909,0.000002352339982085636,0.8088926132830411,8.30738798381417
2,50,3.3365878883234874e-8,0,0,1,0.9349717031706987,6.680937092797611e-11,13994619170.694567,0.812879923624863,0.0000023280928090125813,8.168270473107908
2,51,3.403319646089957e-8,1,1,1,0.9344842698321323,3.575712222715294e-11,26134213595.14529,0.0000023036265747535513,0.8168585000136863,8.031469475743327
2,52,3.470051403856427e-8,0,0,1,0.9306392215779261,9.24333471953797e-11,10068219423.13525,0.8208254234202611,0.0000022792117878676563,7.896909981490982
2,53,3.536783161622897e-8,1,1,1,0.9298875140762585,5.009231737153631e-11,18563475655.94247,0.0000022551076466047784,0.8247779228614428,7.764520625569249
2,54,3.6035149193893666e-8,0,0,1,0.9261412304751298,1.2270562560068898e-10,7547667239.715613,0.8287133751224012,0.0000022315594511003932,7.634233428582895
2,55,3.6702466771558364e-8,1,1,1,0.9251130242633826,6.70787723037048e-11,13791442396.632654,0.000002208801136525329,0.8326293026741334,7.505983567725954
2,56,3.736978434922306e-8,0,0,1,0.9214778246515538,1.574715314680802e-10,5851710566.734021,0.8365233721022661,0.000002187054032703321,7.379709176144562
