q,t,time_s,decoded,expected,ok,best_overlap,second_overlap,contrast,near_plus,near_minus,energy
5,9,6.00585819898228e-9,4,4,1,1,0.0005924066405582881,1688.029693687419,0.000007401000211098056,0.601854642941196,25.132741228718164
5,10,6.673175776646977e-9,0,0,1,0.9997413187259424,0.0005935728638202865,1684.277330825942,0.7298551654863772,0.00000504013754156522,25.132741228718242
5,11,7.340493354311675e-9,1,1,1,0.999765728222189,0.0005944528688950594,1681.8250538188263,0.00004276953929678122,0.3164633198375121,25.1327412287182
5,12,8.007810931976373e-9,2,2,1,0.9997832591376742,0.0007468237502941949,1338.7137979259917,0.0010987837099931562,0.0015261596532856806,25.13274122871827
5,13,8.67512850964107e-9,3,3,1,0.9997895252507049,0.0007486035363852982,1335.5394099235511,0.2645784457278429,0.000028205650193468573,25.13274122871832
5,14,9.342446087305767e-9,4,4,1,0.9997932991856294,0.000751668404339435,1330.0988752670085,0.00001511427680154895,0.6039127419711515,25.132741228718384
5,15,1.0009763664970465e-8,0,0,1,0.9990963634608767,0.0007531052717747639,1326.6357319560536,0.7307787702891152,0.00001198376059626226,25.132741228718295
5,16,1.0677081242635163e-8,1,1,1,0.9991543659533483,0.0007536629710013613,1325.731002315017,0.00006180460137976122,0.31997674962328243,25.132741228718352
5,17,1.1344398820299861e-8,2,2,1,0.999201536341342,0.000954517507982875,1046.8132097994671,0.0013374135795998533,0.0016991924349465048,25.132741228718405
5,18,1.201171639796456e-8,3,3,1,0.9992200781910622,0.0009584876066968467,1042.4966073735563,0.2592669847231814,0.00005476015400129557,25.132741228718174
5,19,1.2679033975629256e-8,4,4,1,0.9992310312095339,0.0009626222238501531,1038.0302952210664,0.00002554772480922221,0.605801850543412,25.13274122871827
5,20,1.3346351553293954e-8,0,0,1,0.9981416749807257,0.0009642613957928465,1035.1359904437757,0.7313234110717935,0.000021883300104818563,25.132741228718377
5,21,1.4013669130958652e-8,1,1,1,0.9982290251557051,0.0009645518350143636,1034.9148577803908,0.00008608078469455082,0.32360380471914907,25.132741228718302
5,22,1.468098670862335e-8,2,2,1,0.9983066609442218,0.0012136669628252687,822.5540379053292,0.0016214419469545815,0.001864963839750584,25.13274122871831
5,23,1.5348304286288048e-8,3,3,1,0.9983393955345229,0.001218811006086112,819.1092716994941,0.25424670088390555,0.00009224094783379861,25.132741228718125
5,24,1.6015621863952746e-8,4,4,1,0.9983583232804818,0.0012235294255082641,815.9659281310342,0.000038962596270224775,0.6075426890006694,25.132741228718217
5,25,1.6682939441617444e-8,0,0,1,0.9969036156389102,0.0012252700623825992,813.6195000964775,0.7316154118334623,0.00003410586124552671,25.13274122871837
5,26,1.735025701928214e-8,1,1,1,0.9970153641616798,0.0012253249939900139,813.6742244317635,0.0001140723762765798,0.32728775239226054,25.13274122871828
5,27,1.8017574596946836e-8,2,2,1,0.9971219896603741,0.0015224571707034879,654.9425552638896,0.001948591208471686,0.00203290389516121,25.132741228718313
5,28,1.8684892174611534e-8,3,3,1,0.9971695691531227,0.0015279607501977887,652.6146493121913,0.249441596632573,0.00014133458094137122,25.13274122871831
5,29,1.9352209752276232e-8,4,4,1,0.9971965654572619,0.001532771941149881,650.583781374004,0.000055591819721626586,0.6091425759818363,25.132741228718146
5,30,2.001952732994093e-8,0,0,1,0.9953948669365053,0.0015345005320749631,648.6767818780257,0.7317145080367334,0.000048183202025483944,25.132741228718317
5,31,2.068684490760563e-8,1,1,1,0.9955269013229535,0.0015343388889879895,648.8311731312353,0.0001450199465891372,0.3309978909361459,25.132741228718285
5,32,2.1354162485270326e-8,2,2,1,0.9956607006454125,0.0018791830963676703,529.8369821280082,0.0023174732842806828,0.0022082929323452662,25.132741228718288
5,33,2.2021480062935024e-8,3,3,1,0.9957233051965809,0.0018843862076912145,528.4072347443891,0.24480501093298418,0.00020247950042347968,25.13274122871828
5,34,2.2688797640599722e-8,4,4,1,0.9957582889389128,0.001888836702741734,527.1807178955828,0.0000756056519386759,0.6106064825497122,25.132741228718277
5,35,2.335611521826442e-8,0,0,1,0.9936232751375325,0.0018904419510319137,525.6036952603357,0.7316525801709228,0.0000638031533083936,25.132741228718253
5,36,2.402343279592912e-8,1,1,1,0.9937723847605683,0.0018900755968588648,525.7844640775895,0.00017851524261402904,0.3347156444745306,25.132741228718373
5,37,2.4690750373593816e-8,2,2,1,0.993931665510242,0.0022822543203665255,435.5043417556632,0.0027271700865136085,0.00239435349620201,25.132741228718274
5,38,2.535806795125851e-8,3,3,1,0.9940092687756158,0.0022866109018212623,434.70853217042634,0.2403062557655389,0.00027595811297046396,25.132741228718185
5,39,2.602538552892321e-8,4,4,1,0.9940521315824515,0.0022903008045860682,434.0268883423411,0.00009912221675893676,0.6119387850787961,25.13274122871844
5,40,2.6692703106587907e-8,0,0,1,0.9915947077782422,0.002291681215075452,432.6931255775008,0.731448106988129,0.00008075382696543503,25.13274122871821
5,41,2.7360020684252605e-8,1,1,1,0.9917584048855453,0.002291118287028765,432.8708868941492,0.00021432920517858625,0.33842858141058185,25.132741228718253
5,42,2.8027338261917303e-8,2,2,1,0.9919416845849429,0.0027301803442613746,363.32460112751403,0.003177039906264156,0.0025931781653137525,25.132741228718398
5,43,2.8694655839582e-8,3,3,1,0.9920341641455405,0.0027332313019439716,362.9528768531117,0.23592422161146195,0.0003619546381212208,25.132741228718192
5,44,2.93619734172467e-8,4,4,1,0.9920848039461029,0.0027358174328871443,362.6282923781002,0.0001262157815541425,0.6131435142956619,25.132741228718412
5,45,3.00292909949114e-8,0,0,1,0.9893141211516852,0.0027368842249163882,361.47459660333595,0.7311125279343861,0.00009888705638708129,25.132741228718274
5,46,3.0696608572576095e-8,1,1,1,0.9894904592767144,0.0027361311210713866,361.63853832021755,0.0002523287087697909,0.34212771553313975,25.132741228718285
5,47,3.136392615024079e-8,2,2,1,0.9896964595215055,0.0032215546194765275,307.21082720066437,0.003666620258657514,0.0028061855324155276,25.13274122871819
5,48,3.203124372790549e-8,3,3,1,0.9898036466360134,0.00322290988789685,307.11489959836325,0.231643932276088,0.00046059736311294914,25.132741228718213
5,49,3.269856130557019e-8,4,4,1,0.9898619674871811,0.0032241028711537433,307.01934989219484,0.00015692290537081186,0.6142243468094767,25.132741228718164
5,50,3.336587888323489e-8,0,0,1,0.9867860090070752,0.0032247805763367067,306.0009776318011,0.7306533223356847,0.00011809687077155561,25.132741228718352
5,51,3.4033196460899585e-8,1,1,1,0.986973443079095,0.003223843145068485,306.1480967487109,0.00029243233491673326,0.3458062071009287,25.13274122871839
5,52,3.470051403856428e-8,2,2,1,0.9872010626636106,0.003755040166697764,262.90026706472474,0.004195573564812668,0.0030343616524334902,25.132741228718356
5,53,3.536783161622898e-8,3,3,1,0.9873227640755297,0.0037543659748672546,262.9798934586922,0.22745453170550217,0.0005719866621857541,25.132741228718288
5,54,3.603514919389367e-8,4,4,1,0.9873886693396626,0.0037539250483854696,263.02833876886535,0.00019124859021218006,0.6151845868441952,25.13274122871839
5,55,3.670246677155837e-8,0,0,1,0.9840146135386973,0.0037541510953794295,262.11374783231616,0.7300756135565192,0.00013830600851243385,25.132741228718203
5,56,3.736978434922307e-8,1,1,1,0.9842118987313367,0.003753035341493295,262.244239442661,0.000334585840827758,0.34945866338651876,25.13274122871829
5,57,3.8037101926887767e-8,2,2,1,0.984460183857173,0.004329357091963128,227.39177271486605,0.004763653786972176,0.0032783971826557236,25.132741228718352
5,58,3.8704419504552465e-8,3,3,1,0.9845961911014116,0.004326366408239695,227.58039846699495,0.2233480267595357,0.0006962109085128616,25.132741228718327
5,59,3.937173708221716e-8,4,4,1,0.9846695777837503,0.004324093848435536,227.71697661927607,0.00022917263037412837,0.6160271751012756,25.132741228718295
5,60,4.003905465988186e-8,0,0,1,0.9810040347340048,0.004323817750084358,226.88376139694262,0.7293830633398652,0.0001594570051210926,25.132741228718253
5,61,4.070637223754656e-8,1,1,1,0.9812101536761408,0.004322530243121846,226.99902568350447,0.000378748444237044,0.35308071824523085,25.132741228718164
5,62,4.137368981521126e-8,2,2,1,0.9814782706540259,0.004943272056151758,198.54830151065727,0.005370683430861201,0.003538771091730681,25.132741228718146
5,63,4.2041007392875955e-8,3,3,1,0.9816283641973244,0.00493771721379931,198.80206210554,0.21931846293159174,0.0008333542436994483,25.132741228718228
5,64,4.270832497054065e-8,4,4,1,0.9817091195700939,0.004933453171860145,198.99025801433586,0.0002706557420869233,0.6167547167381006,25.132741228718405
5,65,4.337564254820535e-8,0,0,1,0.9777582916961426,0.004932635586664293,198.22228391239298,0.7285784002898823,0.00018150621033511568,25.132741228718334
5,66,4.404296012587005e-8,1,1,1,0.9779724015166347,0.004931183683671098,198.3240666444953,0.0004248853298559524,0.35666876012863874,25.13274122871825
5,67,4.471027770353475e-8,2,2,1,0.9782596136365487,0.005595589659615107,174.82690353385175,0.006016535876360439,0.003815805171730607,25.13274122871824
5,68,4.5377595281199445e-8,3,3,1,0.978423564946841,0.0055872566054278455,175.11699104643466,0.2153613657538017,0.0009834997941791622,25.132741228718157
5,69,4.604491285886414e-8,4,4,1,0.9785115648651729,0.005580874600507295,175.3330140720645,0.0003156450821346486,0.6173695173827004,25.132741228718224
5,70,4.671223043652884e-8,0,0,1,0.9742813593925665,0.005579486383675256,174.6184670766772,0.727663746516286,0.00020441980654010365,25.132741228718515
5,71,4.737954801419354e-8,1,1,1,0.9745027527192279,0.005577878335095449,174.70849921335764,0.00047296378797789617,0.3602197481811118,25.13274122871842
5,72,4.804686559185824e-8,2,2,1,0.974808401433774,0.006285145584804221,155.09718721402356,0.006701120897408783,0.00410970136967207,25.13274122871819
5,73,4.8714183169522935e-8,3,3,1,0.9749859741298822,0.006273849374232998,155.40474690613337,0.2114733531883181,0.0011467306936906092,25.1327412287182
5,74,4.938150074718763e-8,4,4,1,0.9750810823446476,0.006265252446728832,155.63316732013726,0.0003640789391755393,0.6178736205116833,25.13274122871847
5,75,5.0048818324852324e-8,0,0,1,0.9705771920186619,0.00626327373737844,154.963240106588,0.7266408264054831,0.0002281712144160969,25.13274122871828
5,76,5.071613590251702e-8,1,1,1,0.9708052679506523,0.006261518718510356,155.04309922139964,0.0005229514510511379,0.36373108381400004,25.13274122871839
5,77,5.138345348018172e-8,2,2,1,0.9711287578595299,0.007010801258675552,138.5189398512476,0.007424372536835234,0.004420568293742744,25.1327412287184
5,78,5.205077105784642e-8,3,3,1,0.971319708342683,0.006996382510814616,138.8317043616857,0.20765186143490946,0.0013231301896271818,25.13274122871832
5,79,5.2718088635511116e-8,4,4,1,0.9714217763601662,0.006985499952152726,139.06259867066532,0.0004158905419119951,0.6182688430719468,25.13274122871823
5,80,5.3385406213175814e-8,0,0,1,0.966649738657926,0.006982919313849101,138.43060405134378,0.7255111036109516,0.0002527394491632494,25.132741228718285
5,81,5.405272379084051e-8,1,1,1,0.9668839809574237,0.006981027408644206,138.50167380236707,0.0005748157039914735,0.3672005182867057,25.13274122871836
